,time,mat1,mat2,width1,width2,thickness,operator
173,2021-06-02 16:10:30.813513756,0,0,115,100,28,Geralt
174,2021-06-02 16:14:44.608698926,1,2,150,140,15,Geralt
175,2021-06-02 16:20:30.052017770,1,1,180,200,25,Geralt
176,2021-06-02 16:25:42.724757690,1,2,100,115,22,Geralt
177,2021-06-02 16:31:19.945816164,2,2,125,105,15,Geralt
178,2021-06-02 16:37:06.779526738,0,1,120,110,18,Geralt
179,2021-06-02 16:42:06.153631959,0,0,185,175,25,Geralt
180,2021-06-02 16:46:38.160153659,0,1,200,210,28,Geralt
181,2021-06-02 16:51:33.187710878,0,0,170,175,15,Geralt
182,2021-06-02 16:56:28.369661720,0,0,155,145,18,Geralt
183,2021-06-03 08:03:25.275588143,1,1,210,220,25,Alice
184,2021-06-03 08:08:26.173393759,2,2,110,100,18,Alice
185,2021-06-03 08:13:46.221482661,0,0,140,125,12,Alice
186,2021-06-03 08:18:04.780251832,2,2,185,200,22,Alice
187,2021-06-03 08:23:22.142757656,0,0,215,220,18,Alice
188,2021-06-03 08:27:53.441153006,1,1,130,120,18,Alice
189,2021-06-03 08:33:09.834776976,1,2,120,130,25,Alice
190,2021-06-03 08:38:24.734292969,1,2,130,105,28,Alice
191,2021-06-03 08:43:26.576647418,1,1,215,220,28,Alice
192,2021-06-03 08:48:29.462390894,0,1,180,205,25,Alice
193,2021-06-03 08:53:24.936215440,2,2,125,130,18,Alice
194,2021-06-03 08:58:52.108303589,1,1,205,205,12,Alice
195,2021-06-03 09:04:34.426688539,2,2,180,175,25,Bob
196,2021-06-03 09:09:58.303432107,1,1,170,175,28,Bob
197,2021-06-03 09:15:06.335764206,1,1,190,190,22,Bob
198,2021-06-03 09:20:20.846764580,0,0,105,100,25,Bob
199,2021-06-03 09:24:49.033937360,1,2,205,200,28,Bob
200,2021-06-03 09:30:27.005615454,1,2,125,115,28,Bob
201,2021-06-03 09:36:00.718630495,0,1,185,210,18,Bob
202,2021-06-03 09:41:22.190333869,1,2,185,195,28,Bob
203,2021-06-03 09:46:48.274314101,0,1,115,130,25,Bob
204,2021-06-03 09:51:38.938165426,0,0,190,215,28,Bob
205,2021-06-03 09:56:05.334529705,0,0,100,120,28,Bob
206,2021-06-03 10:00:15.392549125,0,0,210,220,12,Alice
207,2021-06-03 10:04:57.237758457,1,2,215,210,22,Alice
208,2021-06-03 10:10:39.740868601,2,2,195,190,28,Alice
209,2021-06-03 10:15:46.813786003,2,2,100,100,15,Alice
210,2021-06-03 10:21:22.583745247,2,2,140,120,15,Alice
211,2021-06-03 10:27:01.900767425,1,1,125,100,22,Alice
212,2021-06-03 10:31:57.289582681,0,0,115,120,12,Alice
213,2021-06-03 10:36:20.670469046,1,1,160,160,22,Alice
214,2021-06-03 10:41:23.326606088,0,0,155,140,22,Alice
215,2021-06-03 10:45:32.601349829,1,2,170,180,18,Alice
216,2021-06-03 10:51:13.130523968,1,2,110,100,22,Alice
217,2021-06-03 10:56:22.259303216,1,2,210,200,28,Alice
218,2021-06-03 11:01:39.600956730,0,0,195,210,15,Bob
219,2021-06-03 11:06:20.803010232,1,2,170,155,15,Bob
220,2021-06-03 11:12:19.422026297,0,0,135,135,15,Bob
221,2021-06-03 11:17:03.617348788,2,2,210,220,18,Bob
222,2021-06-03 11:23:05.391532732,1,1,145,150,25,Bob
223,2021-06-03 11:28:08.324687081,1,2,140,115,15,Bob
224,2021-06-03 11:34:00.156919014,0,1,185,185,22,Bob
225,2021-06-03 11:39:12.046785962,2,2,175,160,15,Bob
226,2021-06-03 11:44:59.739471110,0,1,200,205,15,Bob
227,2021-06-03 11:50:25.575924928,1,1,215,215,22,Bob
228,2021-06-03 11:55:54.746568275,2,2,145,135,15,Bob
229,2021-06-03 13:03:56.346715613,1,1,135,115,18,Alice
230,2021-06-03 13:09:00.766958578,1,1,185,165,22,Alice
231,2021-06-03 13:14:01.757800250,1,1,100,110,28,Alice
232,2021-06-03 13:18:40.781906854,2,2,170,180,28,Alice
233,2021-06-03 13:23:38.918378674,0,0,175,170,22,Alice
234,2021-06-03 13:27:56.709949272,0,2,105,130,25,Alice
235,2021-06-03 13:32:58.366429118,1,2,110,100,22,Alice
236,2021-06-03 13:37:58.403490788,1,2,215,220,25,Alice
237,2021-06-03 13:43:27.620780940,2,2,105,105,25,Alice
238,2021-06-03 13:48:35.345071700,1,1,115,120,22,Alice
239,2021-06-03 13:53:29.604641369,0,0,145,155,18,Alice
240,2021-06-03 13:57:40.069859912,1,2,140,135,18,Alice
241,2021-06-03 14:03:12.334240557,0,0,-1,145,28,Bob
242,2021-06-03 14:07:33.031728424,2,2,155,170,28,Bob
243,2021-06-03 14:12:57.180739442,0,0,155,140,22,Bob
244,2021-06-03 14:17:29.387083085,0,1,145,170,18,Bob
245,2021-06-03 14:22:47.144111233,1,2,130,130,25,Bob
246,2021-06-03 14:28:09.476868736,2,2,120,110,22,Bob
247,2021-06-03 14:33:46.415254098,0,1,140,165,25,Bob
248,2021-06-03 14:38:34.561235346,0,1,105,125,22,Bob
249,2021-06-03 14:43:14.892888834,2,2,115,100,25,Bob
250,2021-06-03 14:48:46.552520248,1,2,155,135,22,Bob
251,2021-06-03 14:54:24.620855208,2,2,100,100,18,Bob
252,2021-06-03 15:00:08.614062596,1,2,180,185,12,Alice
253,2021-06-03 15:05:53.242048245,1,1,135,120,15,Alice
254,2021-06-03 15:10:55.890031942,2,2,100,100,15,Alice
255,2021-06-03 15:16:32.243161039,0,0,130,140,28,Alice
256,2021-06-03 15:20:30.277892683,2,2,115,105,22,Alice
257,2021-06-03 15:25:42.648182318,0,0,200,190,18,Alice
258,2021-06-03 15:30:02.033791260,2,2,160,180,15,Alice
259,2021-06-03 15:35:43.569857823,1,2,120,145,25,Alice
260,2021-06-03 15:40:51.721243422,1,1,200,200,28,Alice
261,2021-06-03 15:45:47.117903032,0,0,195,220,28,Alice
262,2021-06-03 15:50:04.338652607,0,0,185,200,25,Alice
263,2021-06-03 15:54:08.314163980,2,2,165,140,18,Alice
264,2021-06-03 15:59:29.890417440,0,0,175,190,18,Alice
265,2021-06-03 16:03:51.821734489,1,2,115,140,18,Bob
266,2021-06-03 16:09:36.875794561,1,1,125,135,22,Bob
267,2021-06-03 16:14:45.465289860,0,0,170,160,18,Bob
268,2021-06-03 16:19:22.173668385,0,0,200,195,25,Bob
269,2021-06-03 16:23:57.407423911,2,2,180,190,22,Bob
270,2021-06-03 16:29:34.878417162,2,2,160,135,18,Bob
271,2021-06-03 16:35:18.923877493,2,2,210,220,18,Bob
272,2021-06-03 16:41:17.808789989,1,2,115,100,25,Bob
273,2021-06-03 16:46:38.032976541,2,2,115,100,18,Bob
274,2021-06-03 16:52:08.448475588,1,1,100,100,28,Bob
275,2021-06-03 16:57:00.446927151,2,2,115,140,18,Bob
276,2021-06-04 08:03:49.822346888,2,2,130,135,18,Charlie
277,2021-06-04 08:09:54.044162320,1,2,105,110,15,Charlie
278,2021-06-04 08:15:46.557857309,0,0,205,220,18,Charlie
279,2021-06-04 08:20:39.024962843,2,2,160,160,18,Charlie
280,2021-06-04 08:26:38.273157608,1,2,145,165,22,Charlie
281,2021-06-04 08:32:26.519959988,1,2,110,120,15,Charlie
282,2021-06-04 08:38:15.618401392,0,0,190,190,15,Charlie
283,2021-06-04 08:43:13.979254239,0,0,125,140,22,Charlie
284,2021-06-04 08:47:58.524537215,1,2,150,140,28,Charlie
285,2021-06-04 08:53:39.993702761,0,1,120,145,28,Charlie
286,2021-06-04 08:58:29.040611263,2,2,135,110,18,Charlie
287,2021-06-04 09:04:24.445169695,2,2,115,100,25,David
288,2021-06-04 09:09:59.169019582,2,2,205,220,28,David
289,2021-06-04 09:15:29.143210454,0,0,100,125,15,David
290,2021-06-04 09:20:11.182128566,1,2,195,180,25,David
291,2021-06-04 09:25:57.085973898,0,0,170,155,28,David
292,2021-06-04 09:30:17.829757642,1,2,160,180,18,David
293,2021-06-04 09:36:07.828549937,0,1,180,190,22,David
294,2021-06-04 09:41:27.508739981,2,2,205,205,28,David
295,2021-06-04 09:47:03.625858152,1,1,175,200,25,David
296,2021-06-04 09:52:24.015627074,0,0,180,205,28,David
297,2021-06-04 09:56:53.791087724,1,2,190,215,15,David
298,2021-06-04 10:02:59.345821771,2,2,115,105,15,Charlie
299,2021-06-04 10:08:58.988741544,2,2,100,100,12,Charlie
300,2021-06-04 10:15:08.118411718,2,2,105,100,18,Charlie
301,2021-06-04 10:20:58.843611371,1,2,155,175,15,Charlie
302,2021-06-04 10:27:04.635803424,1,2,125,145,25,Charlie
303,2021-06-04 10:32:44.916942733,0,0,105,110,25,Charlie
304,2021-06-04 10:37:29.907858312,1,2,170,185,25,Charlie
305,2021-06-04 10:43:18.847128726,1,1,145,120,22,Charlie
306,2021-06-04 10:48:47.155364726,0,0,140,135,25,Charlie
307,2021-06-04 10:53:20.139708173,0,0,180,185,22,Charlie
308,2021-06-04 10:57:59.575065478,1,1,165,185,15,Charlie
309,2021-06-04 11:03:57.842870323,0,0,145,170,25,David
310,2021-06-04 11:08:32.746435250,1,2,130,140,15,David
311,2021-06-04 11:14:24.889701222,0,1,205,210,28,David
312,2021-06-04 11:19:31.780167971,0,0,115,135,22,David
313,2021-06-04 11:24:07.862898546,0,0,150,160,22,David
314,2021-06-04 11:28:52.197516262,0,0,195,170,18,David
315,2021-06-04 11:33:37.294207804,1,1,190,195,22,David
316,2021-06-04 11:39:12.756706259,1,2,180,205,28,David
317,2021-06-04 11:44:47.131780764,2,2,115,140,25,David
318,2021-06-04 11:50:19.824681484,1,2,180,205,18,David
319,2021-06-04 11:56:24.586806025,1,1,125,100,18,David
320,2021-06-04 13:04:29.242679768,1,1,190,215,25,Charlie
321,2021-06-04 13:09:54.042193802,0,0,125,100,25,Charlie
322,2021-06-04 13:14:26.343527408,0,0,200,220,28,Charlie
323,2021-06-04 13:18:59.307409804,1,2,200,205,22,Charlie
324,2021-06-04 13:25:06.787697242,1,1,175,160,25,Charlie
325,2021-06-04 13:30:34.655449868,1,2,175,160,25,Charlie
326,2021-06-04 13:36:31.262350015,0,1,105,110,15,Charlie
327,2021-06-04 13:41:59.169432424,0,1,155,140,18,Charlie
328,2021-06-04 13:47:13.763616226,1,1,135,130,22,Charlie
329,2021-06-04 13:52:36.617564067,1,2,135,120,25,Charlie
330,2021-06-04 13:58:16.956951731,0,1,120,115,25,Charlie
331,2021-06-04 14:03:24.473244229,1,2,215,220,18,David
332,2021-06-04 14:09:30.394096804,0,0,165,185,28,David
333,2021-06-04 14:13:56.871067206,0,1,155,150,18,David
334,2021-06-04 14:19:17.677140814,1,2,135,140,18,David
335,2021-06-04 14:25:09.891978858,1,2,130,155,15,David
336,2021-06-04 14:31:03.201670915,1,1,190,200,22,David
337,2021-06-04 14:36:34.964673829,1,2,105,100,28,David
338,2021-06-04 14:41:47.510760736,0,0,125,120,18,David
339,2021-06-04 14:46:32.824135152,1,1,180,165,22,David
340,2021-06-04 14:52:04.458674003,1,2,135,145,25,David
341,2021-06-04 14:57:47.760854441,0,2,140,155,25,David
342,2021-06-04 15:03:31.654161675,1,2,190,215,22,Charlie
343,2021-06-04 15:09:27.542479595,0,0,210,220,28,Charlie
344,2021-06-04 15:14:03.027702205,1,2,170,170,12,Charlie
345,2021-06-04 15:20:17.049760230,0,0,140,125,25,Charlie
346,2021-06-04 15:24:57.828156725,2,2,155,180,28,Charlie
347,2021-06-04 15:30:41.023264074,1,2,215,200,28,Charlie
348,2021-06-04 15:36:26.075949390,0,0,135,125,15,Charlie
349,2021-06-04 15:41:20.169714654,2,2,120,140,15,Charlie
350,2021-06-04 15:47:19.998278309,0,0,215,220,15,Charlie
351,2021-06-04 15:52:31.930770905,0,0,210,190,22,Charlie
352,2021-06-04 15:57:10.603486870,1,2,195,185,25,Charlie
353,2021-06-04 16:03:09.063699147,2,2,175,180,25,David
354,2021-06-04 16:08:55.094337555,2,2,140,115,25,David
355,2021-06-04 16:14:28.204777194,0,0,105,100,15,David
356,2021-06-04 16:19:20.634967495,1,1,175,165,28,David
357,2021-06-04 16:24:37.920242391,0,0,130,115,28,David
358,2021-06-04 16:29:08.538806219,1,2,105,125,22,David
359,2021-06-04 16:34:46.211127347,2,2,175,175,12,David
360,2021-06-04 16:40:55.840746368,0,1,160,150,28,David
361,2021-06-04 16:46:06.334554843,2,2,120,125,12,David
362,2021-06-04 16:51:58.805725120,2,2,200,195,25,David
363,2021-06-04 16:57:33.886375345,1,2,170,155,22,David
364,2021-06-07 08:02:23.712358384,2,2,120,120,15,Alice
365,2021-06-07 08:07:47.500373342,1,2,150,170,22,Alice
366,2021-06-07 08:13:04.591132327,1,1,185,160,15,Alice
367,2021-06-07 08:18:24.482729460,1,2,195,190,25,Alice
368,2021-06-07 08:23:48.358997947,2,2,200,215,15,Alice
369,2021-06-07 08:29:37.321786854,0,1,125,145,15,Alice
370,2021-06-07 08:34:35.382664793,0,1,155,165,18,Alice
371,2021-06-07 08:39:27.939992374,1,2,120,105,25,Alice
372,2021-06-07 08:44:23.615261529,1,2,105,115,15,Alice
373,2021-06-07 08:49:54.055843859,0,0,105,105,18,Alice
374,2021-06-07 08:54:08.724979092,1,1,215,220,28,Alice
375,2021-06-07 08:59:08.326371622,0,1,155,150,28,Alice
376,2021-06-07 09:03:53.555881252,1,2,205,220,15,Bob
377,2021-06-07 09:10:00.759688686,2,2,105,100,18,Bob
378,2021-06-07 09:15:52.204478752,1,2,190,170,28,Bob
379,2021-06-07 09:21:31.596107373,0,0,110,110,15,Bob
380,2021-06-07 09:26:05.777217065,1,2,195,205,18,Bob
381,2021-06-07 09:32:03.576777774,1,2,100,100,28,Bob
382,2021-06-07 09:37:30.084418824,2,2,120,140,15,Bob
383,2021-06-07 09:43:22.685146932,0,0,140,150,18,Bob
384,2021-06-07 09:47:56.941477323,1,2,205,190,15,Bob
385,2021-06-07 09:53:54.041065186,2,2,145,140,18,Bob
386,2021-06-07 09:59:45.801114812,1,2,190,215,15,Bob
387,2021-06-07 10:05:46.149204759,0,1,140,145,25,Alice
388,2021-06-07 10:10:16.769239630,0,0,180,200,15,Alice
389,2021-06-07 10:14:40.624218560,1,2,190,185,22,Alice
390,2021-06-07 10:20:04.705715566,0,0,115,115,25,Alice
391,2021-06-07 10:24:14.073897810,1,2,180,180,25,Alice
392,2021-06-07 10:29:36.641622922,1,1,115,135,25,Alice
393,2021-06-07 10:34:31.568597311,1,2,185,160,15,Alice
394,2021-06-07 10:40:03.625246388,0,0,170,165,28,Alice
395,2021-06-07 10:44:04.103468603,2,2,150,170,18,Alice
396,2021-06-07 10:49:38.233757131,1,2,100,100,28,Alice
397,2021-06-07 10:54:42.936838579,1,2,115,135,22,Alice
398,2021-06-07 10:59:56.321008723,0,0,165,155,28,Alice
399,2021-06-07 11:03:53.612833209,0,1,170,195,22,Bob
400,2021-06-07 11:08:57.800161192,1,2,105,115,22,Bob
401,2021-06-07 11:14:39.915873070,2,2,185,200,15,Bob
402,2021-06-07 11:20:40.304816364,0,0,115,100,25,Bob
403,2021-06-07 11:25:07.848926891,2,2,125,140,15,Bob
404,2021-06-07 11:30:56.231662115,2,2,170,175,15,Bob
405,2021-06-07 11:36:55.415497324,1,2,175,170,25,Bob
406,2021-06-07 11:42:33.606402281,1,2,165,175,25,Bob
407,2021-06-07 11:48:11.939061711,1,1,115,130,25,Bob
408,2021-06-07 11:53:22.984541923,0,0,100,100,15,Bob
409,2021-06-07 11:58:02.420446263,0,0,200,195,25,Bob
410,2021-06-07 13:03:45.851747075,0,0,110,105,22,Alice
411,2021-06-07 13:07:44.209813201,1,2,215,220,22,Alice
412,2021-06-07 13:13:26.225874847,0,0,195,185,22,Alice
413,2021-06-07 13:17:43.817472531,1,1,120,140,22,Alice
414,2021-06-07 13:22:23.224939334,1,1,105,110,28,Alice
415,2021-06-07 13:26:56.484335950,1,1,100,100,28,Alice
416,2021-06-07 13:31:32.618302962,0,0,200,180,25,Alice
417,2021-06-07 13:35:40.425001476,0,0,150,165,22,Alice
418,2021-06-07 13:39:45.742303383,0,0,165,160,25,Alice
419,2021-06-07 13:43:56.450540176,0,0,175,200,12,Alice
420,2021-06-07 13:48:29.255754940,2,2,155,170,18,Alice
421,2021-06-07 13:54:01.555613147,2,2,145,135,15,Alice
422,2021-06-07 13:59:36.132584242,1,2,130,125,25,Alice
423,2021-06-07 14:04:47.301194562,0,1,195,190,25,Bob
